iter	Passed	Remaining
910	16055	1568
911	16069	1550
912	16084	1532
913	16098	1514
914	16114	1496
915	16130	1479
916	16146	1461
917	16161	1443
918	16177	1425
919	16193	1408
920	16209	1390
921	16229	1373
922	16244	1355
923	16259	1337
924	16273	1319
925	16288	1301
926	16306	1284
927	16324	1266
928	16342	1248
929	16356	1231
930	16369	1213
931	16383	1195
932	16396	1177
933	16409	1159
934	16422	1141
935	16435	1123
936	16448	1105
937	16461	1088
938	16474	1070
939	16487	1052
940	16501	1034
941	16515	1016
942	16528	999
943	16541	981
944	16554	963
945	16567	945
946	16580	927
947	16594	910
948	16607	892
949	16620	874
950	16633	857
951	16646	839
952	16660	821
953	16673	803
954	16689	786
955	16714	769
956	16891	758
957	16909	741
958	16925	723
959	16944	706
960	16962	688
961	16977	670
962	16989	652
963	17003	634
964	17016	617
965	17029	599
966	17043	581
967	17058	563
968	17072	546
969	17085	528
970	17098	510
971	17111	492
972	17125	475
973	17140	457
974	17154	439
975	17168	422
976	17182	404
977	17196	386
978	17209	369
979	17223	351
980	17236	333
981	17248	316
982	17262	298
983	17275	280
984	17289	263
985	17304	245
986	17317	228
987	17330	210
988	17344	192
989	17357	175
990	17370	157
991	17389	140
992	17403	122
993	17416	105
994	17429	87
995	17443	70
996	17456	52
997	17469	35
998	17482	17
999	17497	0
